ciiu_3d,id,year,routput,totlab,renerg,realmats,rcapstock,rinvest
311,18,1979,34644.555,29.752502,3669.0713,19116.719,36556.449,0
311,18,1980,40490.387,25.526295,1345.0345,28933.465,33218.75,0
311,18,1981,22949.998,15.840635,536.17847,17161.012,30198.924,0
311,54,1979,28068.625,31.058437,2297.6199,12696.578,3985.8706,0
311,54,1980,29281.813,31.058437,2692.1841,15695.653,3474.2009,0
311,54,1981,11252.098,19.57938,1911.8129,7837.3911,3036.8691,0
311,54,1982,18923.031,12.669836,1782.5453,12378.346,4019.7317,26.425974
311,54,1983,17051.936,11.878231,1105.9403,8528.3623,4820.6938,1.8844138
311,54,1984,15692.401,12.21283,917.02496,10176.159,4355.4277,0
311,54,1985,14492,17.425659,480.07559,10425.37,3869.3103,0
311,54,1986,51807.582,17.425659,2005.8143,12626.687,3442.3484,0
311,54,1987,13118.024,12.07899,1606.1604,8449.9678,3066.4966,0
311,126,1988,76066.922,132.53355,4148.5034,29273.652,751.68311,14.627881
311,126,1989,98404.789,93.128288,3892.3621,24373.313,5488.8169,81.158264
311,126,1990,108527.18,327.46942,5554.4878,35696.918,9052.0391,10.725568
311,126,1991,103303.33,108.12829,3322.7878,32864.445,9096.3008,9.4529343
311,126,1992,98940.602,106.87829,4382.7334,32010.682,9033.1211,7.377419
311,126,1993,89736.789,92.378288,5766.25,18804.188,9171.625,13.10065
311,126,1994,83432.477,98.128288,6075.1343,26416.02,9049.8984,3.4630179
311,126,1995,36801.004,95.096222,6102.8799,19036.082,8486.2158,2.8961546
311,495,1979,7534.7456,10.333562,794.79248,2116.4839,3523.9775,0
311,504,1979,16193.764,19.708778,233.85484,11816.414,2312.1929,10.542504
311,504,1980,12584.679,13.766639,4104.019,11457.416,2501.615,1.6051797
311,504,1981,16052.791,19.976538,1879.9519,9968.4326,2231.7295,0
311,504,1982,15275.103,25.95192,4494.4351,10989.176,1936.4336,0
311,504,1983,13647.177,19.345362,1104.0206,9542.1865,1685.092,0
311,513,1981,29297.869,14.102098,2328.5105,9294.0518,57.704517,1.0865787
311,513,1982,23889.953,18.859837,1762.1393,6639.3677,87.467896,0
311,513,1983,21552.822,16.718241,1699.583,2541.699,6466.998,126.27945
311,513,1984,8716.4258,15.403172,695.59808,978.7915,12056.473,0
311,513,1985,5418,15.403172,513.25201,803,11445.251,0
311,513,1986,5459.5244,7.100029,382.59372,465.35529,10866.272,0
311,513,1987,7132.498,19.253965,1330.4243,729.31421,10317.584,0
